rank,task,difficulty,human_best,human_median,q50_best_ratio,deepseek-v4-pro_t1,deepseek-v4-pro_t2,deepseek-v4-pro_t3,deepseek-v4-pro_best,qwen3.6-flash_t1,qwen3.6-flash_t2,qwen3.6-flash_t3,qwen3.6-flash_best,best_overall,best_model
78,272,困难,71,133,1.87,149,181,183,149,,,,,149,deepseek-v4-pro
79,338,困难,62,125,2.02,229,251,351,229,,,,,229,deepseek-v4-pro
80,147,困难,72,135,1.88,133,144,331,133,,,,,133,deepseek-v4-pro
81,44,困难,191,352,1.85,,,,,,,,,,
82,110,困难,83,198,2.39,212,285,435,212,,,,,212,deepseek-v4-pro
83,364,困难,133,242,1.82,378,568,616,378,,,,,378,deepseek-v4-pro
84,153,困难,118,225,1.91,401,410,445,401,,,,,401,deepseek-v4-pro
85,336,困难,81,196,2.42,386,431,475,386,,,,,386,deepseek-v4-pro
86,36,困难,75,160,2.14,,,,,,,,,,
87,17,困难,89,165,1.85,,,,,,,,,,
88,70,困难,78,163,2.09,,,,,,,,,,
89,198,困难,102,223,2.19,406,407,522,406,,,,,406,deepseek-v4-pro
90,205,困难,134,241,1.8,354,358,364,354,,,,,354,deepseek-v4-pro
91,302,困难,89,156,1.76,197,226,231,197,,,,,197,deepseek-v4-pro
92,383,困难,120,238,1.98,380,387,397,380,,,,,380,deepseek-v4-pro
93,159,困难,103,191,1.85,277,313,338,277,,,,,277,deepseek-v4-pro
94,185,困难,107,201,1.88,535,656,1360,535,,,,,535,deepseek-v4-pro
95,42,困难,132,263,1.99,,,,,,,,,,
96,317,困难,43,68,1.58,67,104,,67,,,,,67,deepseek-v4-pro
